Field=#~Integer~#~50|Field=Description~String~Description~385|Field=Designator~String~Designator~526|Field=Quantity~Integer~Quantity~140|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer1 Part Number~String~Manufacturer1 Part Number~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~echOpen_ADC_Card.PrjPcb|ReportField=ProjectFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\echOpen_ADC_Card.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [echOpen_ADC_Card.PcbDoc]|ReportField=TotalQuantity~123|ReportField=ReportTime~11:40:20 PM|ReportField=ReportDate~1/10/2016|ReportField=ReportDateTime~1/10/2016 11:40:20 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=GlobalProjectContactEmail~murgen@echopen.org|ReportField=GlobalProjectDesigner~S. Jafar|ReportField=GlobalProjectLink~www.echOpen.com|ReportField=GlobalProjectName~MURGEN|ReportField=GlobalProjectRevision~1.0|ReportField=DataSourceFileName~echOpen_ADC_Card.PcbDoc|ReportField=DataSourceFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\PCB\echOpen_ADC_Card.PcbDoc
1|Non-polarised capacitor|C1, C2, C3, C5, C6, C7, C10, C11, C13, C14, C15, C17, C18, C19, C22, C25, C26, C28, C30, C32, C36, C39, C41, C42, C43, C45, C46, C48, C49, C50, C51, C52, C56|33|GENERIC|CC0603_100NF_50V_10%_X7R|223858615649|100nF
2|Non-polarised capacitor|C4|1|GENERIC|CC2220_1UF_200V_10%_X7R|C2220X105K2RAC|1uF
3|Non-polarised capacitor|C8|1|GENERIC|CC0603_18NF_50V_10%_X7R|223858615639|18nF
4|Non-polarised capacitor|C9|1|GENERIC|CC0603_22PF_50V_5%_NP0|223886715229|22pF
5|Non-polarised capacitor|C12, C16, C20, C24|4|GENERIC|CC0603_1NF_50V_10%_X7R|223858615623|1nF
6|Non-polarised capacitor|C21|1|GENERIC|CC0603_10PF_50V_5%_NP0|223886715109|10pF
7|Non-polarised capacitor|C23, C27, C29, C37, C38|5|GENERIC|CC0603_100PF_50V_5%_NP0|223886715101|100pF
8|Non-polarised capacitor|C31|1|GENERIC|CC0603_39PF_50V_5%_NP0|223886715399|39pF
9|Non-polarised capacitor|C33|1|GENERIC|CC0603_220PF_50V_5%_NP0|223886715221|220pF
10|Non-polarised capacitor|C34|1|GENERIC|CC0603_330PF_50V_5%_NP0|223886715331|330pF
11|Non-polarised capacitor|C35|1|GENERIC|CC0603_220NF_10V_10%_X7R|223824615654 or CC0603KRX7R6BB224|220nF
12|Polarised capacitor|C40, C47, C55|3|SANYO, SANYO, GENERIC|16TQC10M, 16TQC10M, CTE3528-21_10UF_16V_10%_LESR0800|[NoValue], [NoValue], TPSB106K016R0800|10uF
13|Non-polarised capacitor|C44|1|GENERIC|CC0603_15PF_50V_5%_NP0|223886715159|15pF
14|Non-polarised capacitor|C53|1|GENERIC|CC0805_4.7NF_250V_10%_X7R|GRM21AR72E472KW01D|4.7nF
15|Non-polarised capacitor|C54|1|TDK|C3216X5R1E476M160AC||47uF
16|Diode|D1, D2|2|FAIRCHILD SEMICONDUCTOR|ES1D||
17|Serial Diode|D3|1|INFINEON|BAT64-04W||
18||IC1|1|Supertex inc.|HV7360LA-G||
19|3-Ultra-Sound HV Switch 1=A 2=COM 3=B|IC2|1|Supertex inc.|MD0100N8-G||
20||IC3|1|Analog Devices|AD8331ARQZ||
21|Low-Cost, Low-Power, 8-Bit DACs with 3-Wire  Serial Interface in SOT23, Resistor Set SOT-23 Oscillator 1kHz-20MHz|IC4, OSC1|2|MAXIM, LINEAR TECHNOLOGY|MAX5383EUT+T, LTC6900CS5||
22|DC to 6 GHz Envelope and TruPwr RMS Detector|IC5|1|ANALOG DEVICES|ADL5511ACPZ-R7||
23|1.5 GHz Fully Differential Amplifier|IC6|1|TEXAS INSTRUMENTS|LMH6552MA/NOPB||
24|Octal Buffer/Line Driver with 3-State Outputs|IC7, IC9|2|FAIRCHILD|74AC541MTC||
25|12-Bit, 10MSPS Sampling Analog-To-Digital Converter|IC8|1|ANALOG DEVICES|AD9220ARS||
26|Power Supply|IC10|1|RECOM POWER|R05-100B||
