Part	Mid X	Mid Y	Rotation	Side	Type	X Size	Y Size	Value	Footprint
C1	75.3872mm	11.1632mm	0.00	1	1	99	99	100nF	CAPC1608X87N
C2	84.6582mm	13.2154mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C3	80.716mm	19.8166mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C4	73.3806mm	18.4128mm	360.00	1	1	99	99	1uF	CAPC5650X165N
C5	81.026mm	9.1694mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C6	62.1029mm	36.6287mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C7	69.0118mm	33.8328mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C8	63.5762mm	31.2928mm	270.00	1	1	99	99	18nF	CAPC1608X87N
C9	65.1764mm	29.6926mm	90.00	1	1	99	99	22pF	CAPC1608X87N
C10	58.273mm	20.1563mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C11	59.7408mm	37.4396mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C12	59.7408mm	35.8245mm	180.00	1	1	99	99	1nF	CAPC1608X87N
C13	56.114mm	20.1545mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C14	56.3324mm	35.8537mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C15	56.3324mm	37.4539mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C16	51.0444mm	24.7247mm	90.00	1	1	99	99	1nF	CAPC1608X87N
C17	52.67mm	24.7247mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C18	49.0172mm	33.3861mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C19	51.733mm	30.9731mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C20	50.1602mm	30.9731mm	270.00	1	1	99	99	1nF	CAPC1608X87N
C21	52.358mm	35.8245mm	360.00	1	1	99	99	10pF	CAPC1608X87N
C22	51.3794mm	42.5809mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C23	53.3654mm	17.3482mm	180.00	1	1	99	99	100pF	CAPC1608X87N
C24	46.0042mm	18.288mm	270.00	1	1	99	99	1nF	CAPC1608X87N
C25	44.4199mm	18.288mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C26	40.0304mm	13.8684mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C27	53.4416mm	13.716mm	180.00	1	1	99	99	100pF	CAPC1608X87N
C28	29.7748mm	26.67mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C29	53.4416mm	12.0142mm	180.00	1	1	99	99	100pF	CAPC1608X87N
C30	47.5996mm	18.288mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C31	31.7754mm	26.7173mm	90.00	1	1	99	99	39pF	CAPC1608X87N
C32	40.0304mm	11.7886mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C33	24.4602mm	29.1557mm	360.00	1	1	99	99	220pF	CAPC1608X87N
C34	27.6726mm	26.7173mm	90.00	1	1	99	99	330pF	CAPC1608X87N
C35	24.4602mm	34.1087mm	360.00	1	1	99	99	220nF	CAPC1608X87N
C36	24.4602mm	32.4577mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C37	24.4602mm	30.8067mm	360.00	1	1	99	99	100pF	CAPC1608X87N
C38	53.3654mm	8.5344mm	180.00	1	1	99	99	100pF	CAPC1608X87N
C39	19.5834mm	44.7891mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C40	23.5712mm	43.3159mm	90.00	1	1	99	99	10uF	CAPMP3528X210N
C41	26.1874mm	42.3507mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C42	19.5834mm	41.8909mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C43	72.39mm	46.1518mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C44	32.1564mm	37.7698mm	270.00	1	1	99	99	15pF	CAPC1608X87N
C45	29.7688mm	40.1663mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C46	31.4706mm	42.6507mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C47	28.829mm	43.7096mm	90.00	1	1	99	99	10uF	CAPMP3528X210N
C48	36.83mm	32.2971mm	180.00	1	1	99	99	100nF	CAPC1608X87N
C49	33.4772mm	43.7985mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C50	33.2994mm	34.4932mm	270.00	1	1	99	99	100nF	CAPC1608X87N
C51	61.1886mm	46.228mm	360.00	1	1	99	99	100nF	CAPC1608X87N
C52	11.5316mm	42.4942mm	90.00	1	1	99	99	100nF	CAPC1608X87N
C53	58.928mm	-11.43mm	270.00	1	1	99	99	4.7nF	CAPC2012X110N
C54	21.1328mm	-12.1158mm	270.00	1	1	99	99	47uF	CAPC3216X180N
D1	78.8416mm	25.2094mm	270.00	1	1	99	99	ES1D	DIOM5027X244N
D2	74.7776mm	25.2094mm	90.00	1	1	99	99	ES1D	DIOM5027X244N
D3	73.2536mm	30.861mm	90.00	1	1	99	99	BAT64-04W	SOT65P210X100-3N
IC1	80.01mm	14.3128mm	90.00	1	1	99	99	HV7360LA-G	HV7360
IC2	77.2922mm	32.542mm	270.00	1	1	99	99	MD0100N8-G	SOT89
IC3	57.2008mm	31.1658mm	270.00	1	1	99	99	AD8331ARQZ	SOP64P600X175-20N
IC4	51.088mm	40.0917mm	180.00	1	1	99	99	MAX5383EUT+T	SOT95P280X100-6N
IC5	29.972mm	31.8989mm	90.00	1	1	99	99	ADL5511ACPZ-R7	QFN50P300X300X80-17N-S175
IC6	46.9646mm	12.827mm	270.00	1	1	99	99	LMH6552MA/NOPB	SOIC127P600X175-8N
IC7	77.851mm	43.8912mm	90.00	1	1	99	99	74AC541MTC	SOP65P640X120-20N
IC8	39.2684mm	38.4137mm	180.00	1	1	99	99	AD9220ARS	SOP65P780X200-28N
IC9	66.7034mm	43.942mm	90.00	1	1	99	99	74AC541MTC	SOP65P640X120-20N
IC10	39.636mm	-12.2428mm	360.00	1	2	99	99	R05-100B	PWS_RECOM_R05-100B
J1	84.0993mm	33.6804mm	180.00	1	2	99	99	SMA	AMPHENOL_132357-11
J2	80.0608mm	-8.9154mm	270.00	1	2	99	99	Family	PHOENIX_1803439
L1	72.517mm	33.842mm	360.00	1	1	99	99	75R@100MHz	INDC2012X105N
L2	58.273mm	23.6851mm	90.00	1	1	99	99	75R@100MHz	INDC2012X105N
L3	59.921mm	40.6887mm	90.00	1	1	99	99	75R@100MHz	INDC2012X105N
L4	56.1254mm	23.6755mm	90.00	1	1	99	99	75R@100MHz	INDC2012X105N
L5	47.9424mm	25.5011mm	360.00	1	1	99	99	75R@100MHz	INDC2012X105N
