Field=#~Integer~#~50|Field=Description~String~Description~213|Field=Designator~String~Designator~218|Field=Quantity~Integer~Quantity~58|Field=Comment~String~Comment~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Manufacturer1 Part Number~String~Manufacturer1 Part Number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~echOpen_ADC_Card.PrjPcb|ReportField=ProjectFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\echOpen_ADC_Card.PrjPcb|ReportField=Title~Bill of Materials For Project [echOpen_ADC_Card.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~123|ReportField=ReportTime~3:33:10 AM|ReportField=ReportDate~12/31/2015|ReportField=ReportDateTime~12/31/2015 3:33:10 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=GlobalProjectDesigner~S. Jafar|ReportField=GlobalProjectRevision~1.0|ReportField=GlobalProjectName~echOpen BBB Cape|ReportField=GlobalProjectLink~www.echOpen.com|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Sofian Jafar|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~12/31/2015|ReportField=CurrentTime~2:49:47 AM|ReportField=Date~|ReportField=Descripition~UltraSound BBB Cape|ReportField=DocumentFullPathAndName~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\Schematics\1.SchDoc|ReportField=DocumentName~1.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~Sofian Jafar|ReportField=Group~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~12/30/2015|ReportField=Organization~|ReportField=ProjectName~echOpen_ADC_Card.PrjPcb|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetDescription~UltraSound Pulser, LNA and VGA|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~echOpen_ADC_Card.PrjPcb|ReportField=DataSourceFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_ADC_Card\echOpen_ADC_Card.PrjPcb
1|Non-polarised capacitor|C1, C2, C3, C5, C6, C7, C10, C11, C13, C14, C15, C17, C18, C19, C22, C25, C26, C28, C30, C32, C36, C39, C41, C42, C43, C45, C46, C48, C49, C50, C51, C52, C56|33|100nF|GENERIC|CC0603_100NF_50V_10%_X7R|223858615649
2|Non-polarised capacitor|C4|1|1uF|GENERIC|CC2220_1UF_200V_10%_X7R|C2220X105K2RAC
3|Non-polarised capacitor|C8|1|18nF|GENERIC|CC0603_18NF_50V_10%_X7R|223858615639
4|Non-polarised capacitor|C9|1|22pF|GENERIC|CC0603_22PF_50V_5%_NP0|223886715229
5|Non-polarised capacitor|C12, C16, C20, C24|4|1nF|GENERIC|CC0603_1NF_50V_10%_X7R|223858615623
6|Non-polarised capacitor|C21|1|10pF|GENERIC|CC0603_10PF_50V_5%_NP0|223886715109
7|Non-polarised capacitor|C23, C27, C29, C37, C38|5|100pF|GENERIC|CC0603_100PF_50V_5%_NP0|223886715101
8|Non-polarised capacitor|C31|1|39pF|GENERIC|CC0603_39PF_50V_5%_NP0|223886715399
9|Non-polarised capacitor|C33|1|220pF|GENERIC|CC0603_220PF_50V_5%_NP0|223886715221
10|Non-polarised capacitor|C34|1|330pF|GENERIC|CC0603_330PF_50V_5%_NP0|223886715331
11|Non-polarised capacitor|C35|1|220nF|GENERIC|CC0603_220NF_10V_10%_X7R|223824615654 or CC0603KRX7R6BB224
12|Polarised capacitor|C40, C47, C55|3|10uF|SANYO, SANYO, GENERIC|16TQC10M, 16TQC10M, CTE3528-21_10UF_16V_10%_LESR0800|
13|Non-polarised capacitor|C44|1|15pF|GENERIC|CC0603_15PF_50V_5%_NP0|223886715159
14|Non-polarised capacitor|C53|1|4700nF|GENERIC|CC0805_4700NF_250V_10%_X7R|GRM21AR72E472KW01D
15|Non-polarised capacitor|C54|1|47uF|TDK|C3216X5R1E476M160AC|
16|Diode|D1, D2|2|ES1D|FAIRCHILD SEMICONDUCTOR|ES1D|
17|Serial Diode|D3|1|BAT64-04W|INFINEON|BAT64-04W|
18||IC1|1|HV7360|Supertex inc.|HV7360|
19|3-Ultra-Sound HV Switch 1=A 2=COM 3=B|IC2|1|MD0100|Supertex inc.|MD0100|
20||IC3|1|AD8331|Analog Devices|AD8331|
21|Low-Cost, Low-Power, 8-Bit DACs with 3-Wire  Serial Interface in SOT23|IC4|1|MAX5383|MAXIM|AD5622AKSZ-2500RL7|
