Field=#~Integer~#~50|Field=Designator~String~Designator~97|Field=Description~String~Description~227|Field=Quantity~Integer~Quantity~67|Field=Manufacturer~String~Manufacturer~158|Field=Manufacturer Part Number~String~Manufacturer Part Number~200|Field=Manufacturer1 Part Number~String~Manufacturer1 Part Number~166|Field=Value~String~Value~79|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~echOpen_HV+Pulser_Board.PrjPcb|ReportField=ProjectFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_HV+Pulser_Board\echOpen_HV+Pulser_Board.PrjPcb|ReportField=Title~Bill of Materials For Project [echOpen_HV+Pulser_Board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~31|ReportField=ReportTime~6:42:28 PM|ReportField=ReportDate~1/25/2016|ReportField=ReportDateTime~1/25/2016 6:42:28 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=GlobalProjectContactEmail~murgen@echopen.org|ReportField=GlobalProjectDesigner~S. Jafar|ReportField=GlobalProjectLink~www.echOpen.com|ReportField=GlobalProjectName~HV+Pulser|ReportField=GlobalProjectRevision~1.0|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Sofian Jafar|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/25/2016|ReportField=CurrentTime~6:09:06 PM|ReportField=Date~|ReportField=Descripition~HV+Pulser Board|ReportField=DocumentFullPathAndName~G:\Projects\Upwork\echOpen\Altium\echOpen_HV+Pulser_Board\Schematics\1.SchDoc|ReportField=DocumentName~1.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~Sofian Jafar|ReportField=Group~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/25/2016|ReportField=Organization~|ReportField=ProjectName~echOpen_HV+Pulser_Board.PrjPcb|ReportField=Revision~1.0|ReportField=Rule~|ReportField=SheetDescription~UltraSound Pulser|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~echOpen_HV+Pulser_Board.PrjPcb|ReportField=DataSourceFullPath~G:\Projects\Upwork\echOpen\Altium\echOpen_HV+Pulser_Board\echOpen_HV+Pulser_Board.PrjPcb
1|C1, C2, C3, C5, C7|Non-polarised capacitor|5|GENERIC|CC0603_100NF_50V_10%_X7R|223858615649|100nF
2|C4|Non-polarised capacitor|1|GENERIC|CC2220_1UF_200V_10%_X7R|C2220X105K2RAC|1uF
3|C53|Non-polarised capacitor|1|GENERIC|CC0805_4.7NF_250V_10%_X7R|GRM21AR72E472KW01D|4.7nF
4|C54|Non-polarised capacitor|1|TDK|C3216X5R1E476M160AC||47uF
5|C55|Polarised capacitor|1|GENERIC|CTE3528-21_10UF_16V_10%_LESR0800|TPSB106K016R0800|10uF
6|D1, D2|Diode|2|FAIRCHILD SEMICONDUCTOR|ES1D||
7|D3|Serial Diode|1|INFINEON|BAT64-04W||
8|IC1||1|Supertex inc.|HV7360LA-G||
9|IC2|3-Ultra-Sound HV Switch 1=A 2=COM 3=B|1|Supertex inc.|MD0100N8-G||
10|IC10|Power Supply|1|RECOM POWER|R05-100B||
11|J1, J2, J3, J4||4|AMPHENOL|132357-11||
12|J5|Connector 2 Male|1|PHOENIX CONTACT|1803277 (MC 1,5/ 2-G-3,81)||
13|J6, J7, J8, J9|Connector 2 Male|4|HARWIN|M20-9990246||
14|L1|Inductor|1|MURATA|BLM21BB750SN1D||75R@100MHz
15|P1|Trimming Potentiometer|1|BOURNS|3223W-1-502E||5k
16|R1|Resistor - 1%|1|GENERIC|R1206_4K7_1%_0.25W_100PPM|NRC12F4701TRF|4k7
17|TP1, TP2, TP3, TP4|Test Point|4|NICOMATIC|C12000B||
